UUID,Zeitstempel,Completion time first task,Completion time second task,How old are you?,What is your gender?,What is your Level of Education?,What is your Field of Study?,"If you're still studying, what semester are you in?",Have you worked with deployment technologies before?,"If you used deployment technologies before, for what did you use them for?","If you used deployment technologies before, which deployment technologies have you used?",How familiar are you with deployment technologies?,"If you used deployment technologies before, which deployment technology are most familiar with?",Do you know the following terms? [Technology-Agnostic Deployment Model (TADM)],Do you know the following terms? [Topology and Orchestration Specification for Cloud Applications (TOSCA)],Do you know the following terms? [Essential Deployment Metamodel (EDMM)],Do you know the following terms? [Deployment Model Abstraction Framework (DeMAF)],Do you know the following terms? [Technology-Specific Deployment Model (TSDM)],Have you used any visualization tools for deployment models before?,"If yes, which ones?",Which tool were you working with?,How many services get deployed?,How many databases get deployed?,"General [Which service(s) interact with the ""Order Service""?]","General [Which service(s) does the ""Order Service"" interact with?]","General [Which service(s) interact with the ""Cart Service""?]","General [Which service(s) does the ""Cart Service"" interact with?]","Which version does the ""UI"" use?","What port does the ""Orchestrator"" use?","What port gets mapped to the internal port 8080 of the ""Payment Service""?","How big is the ""Inventory""?","Is ""Jaeger"" enabled?",What are the username and password for the spring datasource?,I required help for completing the tasks.,Did you use the provided documentation by the tool?,"If you used the documentation, how useful was it?",How mentally demanding were the tasks?,How hurried or rushed were the pace of the tasks?,How successful were you in accomplishing what you were asked to do?,How hard did you have to work to accomplish your level of performance?,"How insecure, discouraged, irritated, stressed and annoyed were you when working on the tasks using this tool?",The visualization helped me understand the deployment model clearly.  ,The information presented was easy to interpret.,The tool was easy to navigate.,I could efficiently find the information I needed.,The tool provided all necessary information about the deployment model.,I was able to extract the required details without difficulty.,The graphical representation was visually appealing.,The layout and design made it easy to follow the model structure.,I could analyze the deployment model quickly using this tool.,The tool made the analysis process more efficient.,I liked this tool.,What was positive about the tool you used?,What was negative about the tool you used?,Which tool were you working with?.1,How many services get deployed?.1,How many databases get deployed?.1,"General [Which service(s) interact with the ""Checkout Service""?]","General [Which service(s) does the ""Checkout Service"" interact with?]","General [Which service(s) interact with the ""Product Catalog Service""?]","General [Which service(s) does the ""Product Catalog Service"" interact with?]",Which version does the Mongo database use?,What port does the Kafka queue use?,What port gets mapped to the internal port 27017 of the MongoDB?,What are the username and password for the MongoDB?,I required help for completing the tasks..1,Did you use the provided documentation from the tool?,"If you used the documentation, how useful was it?.1",How mentally demanding were the tasks?.1,How hurried or rushed were the pace of the tasks?.1,How successful were you in accomplishing what you were asked to do?.1,How hard did you have to work to accomplish your level of performance?.1,"How insecure, discouraged, irritated, stressed and annoyed were you when working on the tasks using this tool?.1",The visualization helped me understand the deployment model clearly.  .1,The information presented was easy to interpret..1,The tool was easy to navigate..1,I could efficiently find the information I needed..1,The tool provided all necessary information about the deployment model..1,I was able to extract the required details without difficulty..1,The graphical representation was visually appealing..1,The layout and design made it easy to follow the model structure..1,I could analyze the deployment model quickly using this tool..1,The tool made the analysis process more efficient..1,I liked this tool..1,What was positive about the tool you used?.1,What was negative about the tool you used?.1,I preferred this tool over the other one for understanding deployment models. ,This tool was easier to learn compared to the other tool.,I felt confident in my understanding when using this tool. ,I would use this tool again for deployment model visualization. ,This tool provided better insights than the alternative tool I used. ,I prefer this tool.,Do you have additional feedback on the tools you used in this study?,What did you like most about this study?,What did you find challenging or unclear?,Do you have any suggestions for improving the study or our tool (DeMAF) used?,The survey was well-structured and easy to follow.,The study helped me understand all relevant aspects of deployment model visualization.,The study helped me understand the given deployment models and how they are structured.,Would you participate in a similar study again?,Any additional comments?
b69722,2025/03/19 11:12:05 AM,1705,1484,25-34 years old,Female,Bachelor,Elektrotechnik und Informationstechnik,3,No,,,1,,No,No,No,No,No,No,,Monokle,11.0,,Don't know,Don't know,Don't know,Don't know,Don't know,8080,80,Don't know,Don't know,,Yes,No,,7,6,7,6,6,1,1,2,1,2,1,3,2,1,2,1,,,DeMAF,10.0,2.0,None of the left,None of the left,None of the left,None of the left,Don't know,9092,27017,mongo:mongo_product_catalog,Yes,Yes,2.0,5,5,6,3,4,1,3,4,3,3,2,4,3,2,4,2,,"Summary nicht nötig, dokumentiert wurde alles vor dem Upload zu ausführlich und danach zu wenig",3,2,3,2,4,Indecisive,,,"Schwierig ohne Vorwissen, ich habe nur nach Wörtern aus den Fragestellungen gesucht",,2,5,5,Maybe,
f931c7,2025/03/19 3:24:02 PM,1550,1840,18-24 years old,Male,Bachelor,Software Engineering,2,Yes,Work,Docker compose;Kubernetes,2,Kubernetes,No,Unsure,Yes,Yes,Yes,No,,Monokle,12.0,9.0,None of the left,None of the left,None of the left,None of the left,Don't know,80,80,1,No,inventory:inventory,Yes,Yes,2.0,4,2,5,4,2,4,4,4,3,4,3,5,4,5,5,4,the tool was good visually and I could navigate easily through the files . also the structure was good to navigate through the sub modules and attributes.,as of such not much negative had all necessary visualization qualities so satisfies with it .,DeMAF,12.0,2.0,None of the left,None of the left,None of the left,None of the left,1.11.1,,27017,mongo:mongo_product_catalog,Yes,Yes,5.0,5,4,5,5,3,3,2,4,3,4,3,2,2,3,3,3,the tool had good graphical representation and the modules had all attributes described at a single node so easier to interpret. ,The connections were clear but not easily understandable until you get a right hang of it ,4,4,4,5,3,Other tool,,exploring the attributes and connecting the dots through it.,yes a bit challenging,,1,2,2,Yes,
9bbcd6,2025/03/20 11:07:43 AM,1781,1225,25-34 years old,Female,Master,Water Resources engineering and management,,No,,,1,,No,No,No,No,No,No,,DeMAF,11.0,1.0,None of the left,Orchestrator,UI,None of the left,Don't know,8080,Don't know,25,No,inventory:inventory,Yes,Yes,5.0,5,4,5,5,1,4,5,5,4,5,4,5,5,4,5,5,,,Monokle,26.0,,Don't know,Don't know,Don't know,Don't know,1.11.1,9092,Don't know,MONGO_INITDB_ROOT_USERNAME:MONGO_INITDB_ROOT_PASSWORD,No,Yes,3.0,7,2,2,6,4,2,2,1,2,5,2,3,3,3,3,3,,,2,2,2,2,2,DeMAF,,,,,1,2,2,Yes,
54fa1e,2025/03/20 11:11:07 AM,1231,1407,25-34 years old,Male,Master,Data Science,5,No,,,3,,Unsure,No,Yes,Unsure,Yes,Yes,InfraMap,DeMAF,1.0,6.0,Orchestrator,Inventory,UIBackend,Order,Don't know,8080,8080,25,No,eventuate:eventuate,Yes,No,,1,1,3,2,1,4,4,4,4,4,4,3,3,4,3,4,simple and easy to use,,Monokle,1.0,1.0,Checkout Service,None of the left,Product Catalog Service,Don't know,1.11.1,9093,Don't know,mongo:mongo_product_catalog,Yes,No,,5,4,5,5,5,1,2,3,3,2,2,3,2,2,2,2,,so much information,2,2,2,2,2,DeMAF,,easy to use,,,1,2,2,Yes,
919b06,2025/03/21 4:50:57 PM,1206,1848,18-24 years old,Male,No higher education level,IT Systemengineer Information Security,,Yes,Homelab;Work,Docker compose,2,Docker compose,No,No,No,No,No,No,,Monokle,11.0,1.0,Order,Order,Cart,Cart,Don't know,8080,80,25,Don't know,eventuate:eventuate,No,No,,3,1,3,2,3,3,3,4,3,2,3,4,4,3,4,4,"Tree Structure, Link function based on the Graphs, Dark Theme",Submenus are huge in the Form Tab,DeMAF,22.0,2.0,None of the left,None of the left,None of the left,None of the left,8.0.0-rc9,9092,27017,mongo:mongo_product_catalog,Yes,Yes,4.0,5,3,3,5,6,3,3,2,2,4,2,2,2,2,2,2,"Browser based, filter buttons granulare Veränderung des Detailgrads, Umschaltmöglichkeit zwischen grafischer und textbasierter Darstellung ","Default Ansicht ist überladen, da alles auf wenig Platz dargestellt wird (wenige Levels in der Darstellung). Kommunikatonsbeziehung waren dadurch schlecht nachzuvollziehen ohne die Bausteine zu verschieben. Textsuche geht nur durch Browsersuche (strg F). Namen sind abgekürzt, dadurch schwer zu finden. ",4,4,4,3,2,Indecisive,"Beide Tools haben Vor und Nachteile. Was mir in Monokel besser gefallen hat ist die Darstellung in Ordnerstruktur. Demaf hat eine bessere übersicht über die Kommunikationsbeziehungen ABER man muss die Bausteine erst verschieben um von der Ansicht zu profitieren. Die Detailansicht die sich durch klicken auf die Bausteine öffnet, ist gut struktiuriert und granular. Wenn man die Ansicht verändert und noch eine Ordnerstruktur dazu baut ist das tool fast sogar besser wie Monokel. ",Direkter Vergleich zwischen zwei Tools. ,,,1,2,2,Yes,
f7aed8,2025/03/24 10:41:46 AM,1155,817,25-34 years old,Male,Bachelor,Computer Science,5,Yes,Personal life/projects;Work;Study/University,Kubernetes;Chef;Ansible;Terraform;Docker compose,4,Docker compose,No,Yes,No,Unsure,Yes,Yes,KubeView,DeMAF,13.0,1.0,None of the left,Orchestrator,UIBackend,None of the left,Don't know,8080,80,25,No,inventory:inventory,Yes,Yes,3.0,5,3,5,5,4,5,4,5,4,4,3,4,4,3,4,4,The tool was helpful but documentation could be more.,May be some tutorials could be useful.,Monokle,26.0,2.0,Don't know,Don't know,Don't know,Don't know,8.0.0-rc9,9092,Don't know,mongo:mongo_product_catalog,Yes,Yes,3.0,5,5,4,5,6,3,3,3,2,4,4,3,5,4,4,3,"I can find the values very fast through this tool because, the search feature was quite nice and intutive.","Visualisation was not clear, some hints could be better to understand difference between services, config, databases etc.",4,3,2,4,4,Indecisive,For some part Demaf was better like visualisation and for other part like finding the values I found the Monokule tool much helpful.,I like the mentor for the help for the hints and understanding the problem statement better.,Yes a little bit challenging may be because I was using it first time.,Documentation could be improved and some videos could be helpful like tutorials.,1,1,1,Yes,Thanks
894bea,2025/03/24 4:42:35 PM,1790,1216,25-34 years old,Male,Bachelor,Computer Science,4,Yes,Study/University,Docker compose,4,Docker compose,No,No,No,No,No,No,,Monokle,,,Don't know,Don't know,Don't know,Don't know,Don't know,8080,8080,Don't know,No,inventory:inventory,Yes,Yes,3.0,5,2,3,6,5,1,2,3,2,2,2,1,2,3,3,1,Nice File Structure,Search feature,DeMAF,21.0,2.0,None of the left,None of the left,None of the left,None of the left,Don't know,9092,27017,mongo:mongo_product_catalog,Yes,No,,2,2,2,2,2,4,4,4,4,3,4,4,4,5,4,4,Graph Structure,Names of the nodes,1,1,1,2,1,DeMAF,,Exploring different models.,Description of the tasks were not clear.,,3,2,1,Yes,
5b7292,2025/03/25 2:56:00 PM,1131,1267,25-34 years old,Male,Bachelor,AI and Data Science,1,Yes,Personal life/projects;Work;Study/University,Docker compose,3,Docker compose,No,Unsure,Unsure,No,No,No,,Monokle,12.0,2.0,Order,Order,Cart,Cart,main,8080,8080,Don't know,No,eventuate:eventuate,Yes,Yes,2.0,5,3,5,5,5,2,2,4,2,3,2,5,4,3,4,4,pleasant User-Interface,not sure if I understood the graphs correctly,DeMAF,12.0,1.0,None of the left,None of the left,None of the left,None of the left,8.0.0-rc9,Don't know,27017,mongo:mongo_product_catalog,Yes,Yes,4.0,5,4,3,4,4,3,2,2,1,2,2,3,3,2,3,2,in browser usage,"kind of overloaded, confusing user interface",4,4,5,5,3,Other tool,auto align feature of the nodes for DeMAF,hands on practical usage of tools,switching between tabs of the exercise and the documentation,no not really,2,3,2,Yes,-
ad6229,2025/03/25 3:04:13 PM,1348,1388,18-24 years old,Male,Bachelor,Computer Science,1,Yes,Work,Docker compose;Kubernetes,4,Kubernetes,No,No,Yes,No,Yes,No,,DeMAF,,3.0,UI;UIBackend;Order,Don't know,UI;UIBackend,Inventory,Don't know,8080,Don't know,25,No,eventuate:eventuate,No,Yes,3.0,3,3,2,3,2,2,2,3,2,2,3,1,2,1,2,3,,"UI could be much better with detailed graphics, graph connections in particular it looks very raw, adding a textbar where one could enter info about the nodes.",Monokle,26.0,1.0,Don't know,Accounting Service,Product Catalog Service,Product Catalog Service,1.11.1,9092,27017,mongo:mongo_product_catalog,Yes,Yes,1.0,6,3,5,5,4,1,3,2,3,2,2,4,2,2,2,3,"UI was good, navigation to the source code was easy to interpret and this is where i found most of information rather than in graphs.","Very complex to understand, documentation could be better, visualsation should have easy access to the information so user does not have to look around to understand things.",1,1,1,1,1,DeMAF,"At first demaf was not visually appealing but easy to use, can get access to info easily as compared to monokle. But Monokle's UI was much better. Adding a button to show source code in the description of nodes would be a better idea.",,,,1,3,3,Yes,
c62bc7,2025/03/25 4:22:19 PM,1077,855,18-24 years old,Male,Bachelor,Computer Science,3,Yes,Personal life/projects,Kubernetes,2,Kubernetes,Unsure,Yes,Unsure,Unsure,Unsure,No,,DeMAF,5.0,2.0,None of the left,Orchestrator,UIBackend,None of the left,Don't know,8080,80,25,Don't know,,No,Yes,3.0,4,2,4,4,5,2,3,2,3,4,3,2,4,2,3,2,,"the Jaeger I cant find and also the spring, and Ui information was not visible and also the color coding of the components should be done and naming should be provided more convincing  ",Monokle,12.0,1.0,None of the left,Accounting Service,Product Catalog Service,Accounting Service;Product Catalog Service,8.0.0-rc9,9092,27017,mongo:mongo_product_catalog,No,No,,3,2,2,5,3,2,5,4,4,4,4,1,1,2,3,3,it provides all the information using yaml file and easily accessible,the graphical representation was frustrating and confusing it was a hard to get the data directly from the graphical representation,4,4,4,3,3,Indecisive,the monokle is good in terms of the resource distribution and its information and the demaf provides easy visualization compared to monokle in the monokle naming of the types should be improved the demaf can be improved with a UI and also the prettier for the yaml file,I got to know about new tools for visualization,interpreting graphical interface of monokle,,2,3,3,Yes,
e6de2f,2025/03/25 4:27:06 PM,1321,1092,18-24 years old,Male,Bachelor,Electrical Engineering,2,No,,,1,,No,No,No,No,No,No,,Monokle,12.0,9.0,Don't know,Don't know,Don't know,Don't know,main,8080,80,25,Don't know,eventuate:eventuate,Yes,No,,5,4,6,5,6,3,3,4,3,3,3,5,4,2,4,4,Multiple ways to get information,,DeMAF,23.0,2.0,None of the left,None of the left,None of the left,None of the left,8.0.0-rc9,9092,27017,mongo:mongo_product_catalog,Yes,Yes,4.0,5,5,3,5,3,5,5,5,5,5,5,4,5,5,5,5,,CAN NOT SEE THE FULL NAME UNTIL HOVERED OVER THE BLOCK,1,1,1,1,1,DeMAF,,GOT TO KNOW ABOUT AN EASIER TOOL,,if it could just show the service  or database name on the block without hovering over it,1,2,1,Maybe,
